date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:37:26	96162/96162	URF---	200	added ('OK%20(cached)')	image/jpeg		https://portswigger.net/web-security/dashboard/images/explore-issue-650w.jpg	/home/siddhant/portswigger/portswigger.net/web-security/dashboard/images/explore-issue-650w.jpg	(from https://portswigger.net/web-security/dashboard)
03:37:26	46350/46350	URF---	200	added ('OK%20(cached)')	image/png		https://portswigger.net/web-security/llm-attacks/images/llm_image1.png	/home/siddhant/portswigger/portswigger.net/web-security/llm-attacks/images/llm_image1.png	(from https://portswigger.net/web-security/llm-attacks)
03:37:26	50795/50795	URF---	200	added ('OK%20(cached)')	image/png		https://portswigger.net/web-security/llm-attacks/images/llm_image2.png	/home/siddhant/portswigger/portswigger.net/web-security/llm-attacks/images/llm_image2.png	(from https://portswigger.net/web-security/llm-attacks)
03:37:28	70824/70824	URF---	200	added ('OK%20(cached)')	image/png		https://portswigger.net/web-security/api-testing/images/api-testing-1.png	/home/siddhant/portswigger/portswigger.net/web-security/api-testing/images/api-testing-1.png	(from https://portswigger.net/web-security/api-testing)
03:37:28	17552/17552	UR-MC-	200	added ('OK')	text/javascript	etag:%22KoQlEqTnyhdh3ceahQ5dpbLtDkY%22	https://portswigger.net/bundles/public/halloffame.js?v=nAqwc8xe9eftslDEIiY2AzRbifM	/home/siddhant/portswigger/portswigger.net/bundles/public/halloffamedafd.js	(from https://portswigger.net/web-security/hall-of-fame)
03:37:28	281788/281788	URF---	200	added ('OK%20(cached)')	image/png		https://portswigger.net/web-security/essential-skills/images/scan-selected-insertion-point.png	/home/siddhant/portswigger/portswigger.net/web-security/essential-skills/images/scan-selected-insertion-point.png	(from https://portswigger.net/web-security/essential-skills/using-burp-scanner-during-manual-testing)
03:37:28	25944711/25944711	URF---	200	added ('OK%20(cached)')	application/pdf		https://portswigger.net/web-security/cross-site-scripting/cheat-sheet.pdf	/home/siddhant/portswigger/portswigger.net/web-security/cross-site-scripting/cheat-sheet.pdf	(from https://portswigger.net/web-security/cross-site-scripting/cheat-sheet)
03:37:28	521/521	---M--	200	added ('OK')	image/svg+xml	etag:%221dbea5a5ca78609%22	https://portswigger.net/content/images/logos/portswigger-logo-mobile.svg	/home/siddhant/portswigger/portswigger.net/content/images/logos/portswigger-logo-mobile.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:29	14035/14035	UR-MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20Feb%202026%2015:44:04%20GMT	https://portswigger.net/web-security/cross-site-scripting/init-cheat-sheet.js	/home/siddhant/portswigger/portswigger.net/web-security/cross-site-scripting/init-cheat-sheet.js	(from https://portswigger.net/web-security/cross-site-scripting/cheat-sheet)
03:37:29	819/819	---M--	200	added ('OK')	image/svg+xml	etag:%221dc0d0603dc3733%22	https://portswigger.net/content/images/svg/ps-quote-open-grey.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/ps-quote-open-grey.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:30	814/814	---M--	200	added ('OK')	image/svg+xml	etag:%221dc22229055152e%22	https://portswigger.net/content/images/svg/ps-quote-close-grey.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/ps-quote-close-grey.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:31	112344/112344	URF---	200	added ('OK%20(cached)')	image/jpeg		https://portswigger.net/web-security/images/oauth-authorization-code-flow.jpg	/home/siddhant/portswigger/portswigger.net/web-security/images/oauth-authorization-code-flow.jpg	(from https://portswigger.net/web-security/oauth/grant-types)
03:37:32	327559/327559	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dc4ff0663c7187%22	https://portswigger.net/content/fonts/ps-main/ps-icons.svg?l1la2n	/home/siddhant/portswigger/portswigger.net/content/fonts/ps-main/ps-icons6208.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:32	8012/8012	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dc548ffadb254c%22	https://portswigger.net/content/images/patterns/dots-spaced.svg	/home/siddhant/portswigger/portswigger.net/content/images/patterns/dots-spaced.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:33	119007/119007	URF---	200	added ('OK%20(cached)')	image/png		https://portswigger.net/web-security/essential-skills/images/scanning-active-scan.png	/home/siddhant/portswigger/portswigger.net/web-security/essential-skills/images/scanning-active-scan.png	(from https://portswigger.net/web-security/essential-skills/using-burp-scanner-during-manual-testing)
03:37:33	361/361	---M--	200	added ('OK')	image/svg+xml	etag:%221dc222290551769%22	https://portswigger.net/content/images/svg/arrow-youtube.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/arrow-youtube.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:34	1224/1224	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dcafa806ef8cc8%22	https://portswigger.net/content/images/svg/ps-quote-left-orange.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/ps-quote-left-orange.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:35	502/502	---M--	200	added ('OK')	image/svg+xml	etag:%221dc703aea901ef6%22	https://portswigger.net/content/images/svg/icons/lab-flask.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/icons/lab-flask.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:36	251/251	---M--	200	added ('OK')	image/svg+xml	etag:%221dbea5a5ca784fb%22	https://portswigger.net/content/images/svg/icons/academy-check.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/icons/academy-check.svg	(from https://portswigger.net/content/pswebsecacademy.css)
03:37:37	2048/2048	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221dcccc08582c000%22	https://portswigger.net/content/images/patterns/dots-small.svg	/home/siddhant/portswigger/portswigger.net/content/images/patterns/dots-small.svg	(from https://portswigger.net/content/psmain.css)
03:37:38	625/625	---M--	200	added ('OK')	image/svg+xml	etag:%221dcb1f9917af471%22	https://portswigger.net/content/images/svg/ps-logo-lines-white.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/ps-logo-lines-white.svg	(from https://portswigger.net/content/psmain.css)
